longName,symbol,marketCap,exchange,processed_long_name,rating
ArcelorMittal S.A.,MT,21766936576,NYQ,ArcelorMittal S.A.,3.8
Boston Scientific Corporation,BSX,97166041088,NYQ,Boston Scientific,4.2
"Cardinal Health, Inc.",CAH,26904000512,NYQ,"Cardinal Health,",3.9
BP p.l.c.,BP,106186301440,NYQ,BP p.l.c.,3.8
Fastenal Company,FAST,42949197824,NMS,Fastenal,3.6
Eli Lilly and Company,LLY,716585172992,NYQ,Eli Lilly and,4.2
Sysco Corporation,SYY,40284405760,NYQ,Sysco,3.5
"Synopsys, Inc.",SNPS,83903782912,NMS,"Synopsys,",4.2
"Autodesk, Inc.",ADSK,54385754112,NMS,"Autodesk,",4.4
"The Hartford Financial Services Group, Inc.",HIG,29458466816,NYQ,"The Hartford Financial Services Group,",4.0
Fifth Third Bancorp,FITB,24088303616,NMS,Fifth Third Bancorp,4.0
The Estée Lauder Companies Inc.,EL,53681332224,NYQ,The Estée Lauder Companies,4.0
Electronic Arts Inc.,EA,35897085952,NMS,Electronic Arts,4.1
"Motorola Solutions, Inc.",MSI,57181315072,NYQ,"Motorola Solutions,",4.2
CDW Corporation,CDW,32951123968,NMS,CDW,4.1
Dow Inc.,DOW,40383692800,NYQ,Dow,4.3
"Marsh & McLennan Companies, Inc.",MMC,101448294400,NYQ,"Marsh & McLennan Companies,",4.2
Newmont Corporation,NEM,39056527360,NYQ,Newmont,4.4
Howmet Aerospace Inc.,HWM,27178536960,NYQ,Howmet Aerospace,4.4
Aflac Incorporated,AFL,48682168320,NYQ,Aflac,4.0
NXP Semiconductors N.V.,NXPI,60919271424,NMS,NXP Semiconductors N.V.,4.1
ON Semiconductor Corporation,ON,31994122240,NMS,ON Semiconductor,4.0
"Gilead Sciences, Inc.",GILD,91800797184,NMS,"Gilead Sciences,",4.0
"O'Reilly Automotive, Inc.",ORLY,65718366208,NMS,"O'Reilly Automotive,",3.9
"Old Dominion Freight Line, Inc.",ODFL,45832347648,NMS,"Old Dominion Freight Line,",4.0
Baker Hughes Company,BKR,32574681088,NMS,Baker Hughes,4.1
"Netflix, Inc.",NFLX,262200623104,NMS,"Netflix,",4.2
Arthur J. Gallagher & Co.,AJG,54887256064,NYQ,Arthur J. Gallagher & Co.,3.6
"Fidelity National Information Services, Inc.",FIS,39845330944,NYQ,"Fidelity National Information Services,",4.0
Stellantis N.V.,STLA,85954011136,NYQ,Stellantis N.V.,3.8
"Ameriprise Financial, Inc.",AMP,42071068672,NYQ,"Ameriprise Financial,",3.9
Arm Holdings plc,ARM,130535317504,NMS,Arm Holdings,4.3
Vertex Pharmaceuticals Incorporated,VRTX,105309585408,NMS,Vertex Pharmaceuticals,4.3
"West Pharmaceutical Services, Inc.",WST,28375877632,NYQ,"West Pharmaceutical Services,",3.9
Anheuser-Busch InBev SA/NV,BUD,120993210368,NYQ,Anheuser-Busch InBev SA/NV,3.8
Kimberly-Clark Corporation,KMB,41935683584,NYQ,Kimberly-Clark,4.1
"Republic Services, Inc.",RSG,58615177216,NYQ,"Republic Services,",3.6
"DuPont de Nemours, Inc.",DD,30663120896,NYQ,"DuPont de Nemours,",4.1
Truist Financial Corporation,TFC,46523805696,NYQ,Truist Financial,3.7
"Rockwell Automation, Inc.",ROK,32186601472,NYQ,"Rockwell Automation,",4.1
GLOBALFOUNDRIES Inc.,GFS,28699963392,NMS,GLOBALFOUNDRIES,3.7
"Builders FirstSource, Inc.",BLDR,23838050304,NYQ,"Builders FirstSource,",4.4
FirstEnergy Corp.,FE,21800036352,NYQ,FirstEnergy Corp.,4.1
Novo Nordisk A/S,NVO,590691893248,NYQ,Novo Nordisk A/S,4.2
The Bank of Nova Scotia,BNS,60875022336,NYQ,The Bank of Nova Scotia,3.8
Cenovus Energy Inc.,CVE,34737352704,NYQ,Cenovus Energy,3.8
Tractor Supply Company,TSCO,27750856704,NMS,Tractor Supply,3.7
"Airbnb, Inc.",ABNB,102466633728,NMS,"Airbnb,",4.3
"Zimmer Biomet Holdings, Inc.",ZBH,25670363136,NYQ,"Zimmer Biomet Holdings,",3.8
International Business Machines Corporation,IBM,175162474496,NYQ,International Business Machines,4.2
Microchip Technology Incorporated,MCHP,47899987968,NMS,Microchip Technology,4.1
ASML Holding N.V.,ASML,380767174656,NMS,ASML Holding N.V.,4.2
"Palo Alto Networks, Inc.",PANW,91165900800,NMS,"Palo Alto Networks,",4.1
"Molina Healthcare, Inc.",MOH,23619880960,NYQ,"Molina Healthcare,",3.7
"Raymond James Financial, Inc.",RJF,25242222592,NYQ,"Raymond James Financial,",4.0
"Agilent Technologies, Inc.",A,43219750912,NYQ,"Agilent Technologies,",4.2
Equifax Inc.,EFX,31353430016,NYQ,Equifax,3.8
"Cadence Design Systems, Inc.",CDNS,81247010816,NMS,"Cadence Design Systems,",4.3
"Block, Inc.",SQ,49360105472,NYQ,"Block,",4.2
"Analog Devices, Inc.",ADI,96801243136,NMS,"Analog Devices,",4.1
Alcon Inc.,ALC,42120167424,NYQ,Alcon,3.8
Corning Incorporated,GLW,27746437120,NYQ,Corning,3.9
Duke Energy Corporation,DUK,73003507712,NYQ,Duke Energy,4.0
"Cencora, Inc.",COR,47849447424,NYQ,"Cencora,",3.6
Splunk Inc.,SPLK,26443769856,NMS,Splunk,4.1
NatWest Group plc,NWG,27350499328,NYQ,NatWest Group,4.3
"T. Rowe Price Group, Inc.",TROW,25689241600,NMS,"T. Rowe Price Group,",3.9
"Marvell Technology, Inc.",MRVL,57909424128,NMS,"Marvell Technology,",4.2
Lam Research Corporation,LRCX,119315529728,NMS,Lam Research,3.9
National Grid plc,NGG,50506358784,NYQ,National Grid,4.0
Iron Mountain Incorporated,IRM,22975815680,NYQ,Iron Mountain,3.8
Colgate-Palmolive Company,CL,72807702528,NYQ,Colgate-Palmolive,4.3
"Live Nation Entertainment, Inc.",LYV,23949907968,NYQ,"Live Nation Entertainment,",4.1
Palantir Technologies Inc.,PLTR,51977031680,NYQ,Palantir Technologies,3.7
KLA Corporation,KLAC,92486533120,NMS,KLA,4.1
PDD Holdings Inc.,PDD,164399710208,NMS,PDD Holdings,4.2
Booking Holdings Inc.,BKNG,116659109888,NMS,Booking Holdings,4.2
"Automatic Data Processing, Inc.",ADP,99448389632,NMS,"Automatic Data Processing,",4.1
"CrowdStrike Holdings, Inc.",CRWD,76345942016,NMS,"CrowdStrike Holdings,",4.1
Itaú Unibanco Holding S.A.,ITUB,67263700992,NYQ,Itaú Unibanco Holding S.A.,4.2
ING Groep N.V.,ING,50642108416,NYQ,ING Groep N.V.,4.2
Lloyds Banking Group plc,LYG,40280231936,NYQ,Lloyds Banking Group,4.2
Ryanair Holdings plc,RYAAY,32364326912,NMS,Ryanair Holdings,4.2
Vertiv Holdings Co,VRT,28326895616,NYQ,Vertiv Holdings Co,4.2
POSCO Holdings Inc.,PKX,24943456256,NYQ,POSCO Holdings,4.2
Westinghouse Air Brake Technologies Corporation,WAB,24752195584,NYQ,Westinghouse Air Brake Technologies,3.5
Sony Group Corporation,SONY,108052357120,NYQ,Sony Group,4.0
"Equinix, Inc.",EQIX,80465092608,NMS,"Equinix,",4.3
"MongoDB, Inc.",MDB,25855166464,NGM,"MongoDB,",4.2
Shopify Inc.,SHOP,99306708992,NYQ,Shopify,3.7
Marathon Petroleum Corporation,MPC,69847531520,NYQ,Marathon Petroleum,3.6
Sun Life Financial Inc.,SLF,31891628032,NYQ,Sun Life Financial,4.3
"Fortinet, Inc.",FTNT,50909425664,NMS,"Fortinet,",4.1
"United Rentals, Inc.",URI,45393301504,NYQ,"United Rentals,",4.1
MicroStrategy Incorporated,MSTR,30243262464,NMS,MicroStrategy,4.1
TELUS Corporation,TU,24442558464,NYQ,TELUS,4.1
Carrier Global Corporation,CARR,51350872064,NYQ,Carrier Global,3.9
"Datadog, Inc.",DDOG,39964266496,NMS,"Datadog,",3.8
Exelon Corporation,EXC,36463181824,NMS,Exelon,4.2
"Nasdaq, Inc.",NDAQ,34328352768,NMS,"Nasdaq,",3.5
Keurig Dr Pepper Inc.,KDP,39062798336,NMS,Keurig Dr Pepper,3.7
Veeva Systems Inc.,VEEV,36547411968,NYQ,Veeva Systems,3.9
TotalEnergies SE,TTE,159804129280,NYQ,TotalEnergies SE,3.8
Linde plc,LIN,225488338944,NMS,Linde,3.7
Moody's Corporation,MCO,70133014528,NYQ,Moody's,3.9
Edwards Lifesciences Corporation,EW,55505997824,NYQ,Edwards Lifesciences,4.1
ConocoPhillips,COP,141216251904,NYQ,ConocoPhillips,4.0
"Altria Group, Inc.",MO,77362987008,NYQ,"Altria Group,",4.0
CME Group Inc.,CME,78298914816,NMS,CME Group,3.9
"NextEra Energy, Inc.",NEE,123309998080,NYQ,"NextEra Energy,",3.8
"Pinterest, Inc.",PINS,23214426112,NYQ,"Pinterest,",3.9
Toyota Motor Corporation,TM,316980985856,NYQ,Toyota Motor,3.8
"IDEXX Laboratories, Inc.",IDXX,44018274304,NMS,"IDEXX Laboratories,",3.6
"Verisk Analytics, Inc.",VRSK,33627824128,NMS,"Verisk Analytics,",3.9
Manulife Financial Corporation,MFC,43617796096,NYQ,Manulife Financial,4.2
"DexCom, Inc.",DXCM,50294292480,NMS,"DexCom,",4.0
"Dominion Energy, Inc.",D,40063275008,NYQ,"Dominion Energy,",3.9
Snowflake Inc.,SNOW,51611738112,NYQ,Snowflake,3.8
"Zscaler, Inc.",ZS,29076946944,NMS,"Zscaler,",3.8
"Air Products and Chemicals, Inc.",APD,54381494272,NYQ,"Air Products and Chemicals,",4.3
"Copart, Inc.",CPRT,53966864384,NMS,"Copart,",3.7
The Southern Company,SO,75378573312,NYQ,The Southern,4.3
The Southern Company JR 2017B NT 77,SOJC,24607049728,NYQ,The Southern  JR 2017B NT 77,4.3
Otis Worldwide Corporation,OTIS,39937318912,NYQ,Otis Worldwide,3.7
"ANSYS, Inc.",ANSS,28531396608,NMS,"ANSYS,",4.3
DTE Energy Company,DTE,22447224832,NYQ,DTE Energy,3.8
Freeport-McMoRan Inc.,FCX,63989030912,NYQ,Freeport-McMoRan,3.9
"AvalonBay Communities, Inc.",AVB,26107035648,NYQ,"AvalonBay Communities,",4.3
"The Williams Companies, Inc.",WMB,45019746304,NYQ,"The Williams Companies,",4.0
Equity Residential,EQR,23923288064,NYQ,Equity Residential,4.3
Rio Tinto Group,RIO,100962910208,NYQ,Rio Tinto Group,3.8
Occidental Petroleum Corporation,OXY,55100612608,NYQ,Occidental Petroleum,3.9
"Coinbase Global, Inc.",COIN,58717769728,NMS,"Coinbase Global,",3.7
MSCI Inc.,MSCI,43156262912,NYQ,MSCI,4.2
Roblox Corporation,RBLX,24785477632,NYQ,Roblox,3.6
"Align Technology, Inc.",ALGN,23608973312,NMS,"Align Technology,",4.0
"Arista Networks, Inc.",ANET,86827843584,NYQ,"Arista Networks,",4.2
Global Payments Inc.,GPN,33130440704,NYQ,Global Payments,3.7
STMicroelectronics N.V.,STM,42888081408,NYQ,STMicroelectronics N.V.,4.0
The Progressive Corporation,PGR,119998210048,NYQ,The Progressive,4.0
Hess Corporation,HES,46336950272,NYQ,Hess,3.9
